X,Y,highway,name,bus,public_transport,ref,network,check_date,description,gtfs_agency_id,gtfs_agency_name,gtfs_agency_url,gtfs_description,gtfs_id,gtfs_location_type,gtfs_stop_code,license,wheelchair,shelter,gtfs_parent_station,bench,tactile_paving,route_ref
-105.2535643,40.0169536,bus_stop,30th St & Canyon Blvd,yes,platform,33374,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,33374,0,33374,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253371,40.0070741,bus_stop,30th St & Colorado Ave,yes,platform,10829,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10829,0,10829,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253389,40.0078401,bus_stop,30th St & Colorado Ave,yes,platform,25465,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,25465,0,25465,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,,,
-105.253774,40.0346511,bus_stop,30th St & Corona Trail,yes,platform,19923,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,19923,0,19923,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253773,40.0308731,bus_stop,30th St & Eagle Way,yes,platform,21685,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,21685,0,21685,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253212,40.0045361,bus_stop,30th St & Euclid Ave,yes,platform,10835,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10835,0,10835,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253023,40.0055411,bus_stop,30th St & Euclid Ave,yes,platform,10836,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10836,0,10836,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,,,
-105.253767,40.0322161,bus_stop,30th St & Glenwood Dr,yes,platform,10838,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10838,0,10838,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253794,40.0361841,bus_stop,30th St & Iris,yes,platform,19692,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,19692,0,19692,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253767,40.0260301,bus_stop,30th St & Mapleton Ave,yes,platform,10841,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10841,0,10841,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.25356,40.0249171,bus_stop,30th St & Mapleton Ave,yes,platform,10842,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10842,0,10842,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
